drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag,likely_therapeutic_agent,non_therapeutic_reason
Enzalutamide,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,19,25,,,,Schulz_2020_CritCare,15951529,no,,True,
Eperisone,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2,0.0007,0.008,0.16,1,4,Schulz_2020_CritCare,3236,no,,True,
Ephedrine,CC(C(C1=CC=CC=C1)O)NC,0.02,0.2,0.15,3,11,Schulz_2020_CritCare,9294,no,,True,
Epinephrine (Adrenaline),CNCC(C1=CC(=C(C=C1)O)O)O,6.8,6.8,,0.7,,Schulz_2020_CritCare,5816,no,,True,
Epirubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,0.2,3,,10,45,Schulz_2020_CritCare,41867,no,,True,
Eplerenone,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC,1,1.7,,3,6,Schulz_2020_CritCare,443872,no,,True,
Eprosartan,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O,0.4,1.0,,5,9,Schulz_2020_CritCare,5281037,no,,True,
Eptastigmine,CCCCCCCNC(=O)OC1=CC2=C(C=C1)N(C3C2(CCN3C)C)C,0.0002,0.006,,,,Schulz_2020_CritCare,65872,no,,True,
Ergotamine,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,0.00036,0.00042,0.00082,1.5,2.5,Schulz_2020_CritCare,8223,yes,unit_converted:ng_per_mL_to_mg_per_L,True,
Erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,0.5,6,12,1,3,Schulz_2020_CritCare,12560,no,,True,
Escitalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,0.015,0.08,0.16,26.3,,Schulz_2020_CritCare,146570,no,,True,
Eslicarbazepine acetate,CC(=O)OC1CC2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N,10,35,70,20,40,Schulz_2020_CritCare,179344,no,,True,
Esmolol,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,0.15,2,,4,16,Schulz_2020_CritCare,59768,no,,True,
Esomeprazol,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0.6,6.6,,0.6,1.4,Schulz_2020_CritCare,9568614,no,,True,
Estazolam,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,0.055,0.2,,10,24,Schulz_2020_CritCare,3261,no,,True,
Eszopiclone,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,0.01,0.09,0.15,4,9,Schulz_2020_CritCare,969472,no,,True,
Etamsylate (Ethamsylate),CCNCC.C1=CC(=C(C=C1O)S(=O)(=O)O)O,15,20,,2.5,4,Schulz_2020_CritCare,17506,no,,True,
Ethadione,CCN1C(=O)C(OC1=O)(C)C,500,1000,1000,,,Schulz_2020_CritCare,10630,no,,True,
Ethambutol,CCC(CO)NCCNC(CC)CO,3,5,6,2.5,3.5,Schulz_2020_CritCare,14052,no,,True,
Ethchlorvynol,CCC(C=CCl)(C#C)O,0.5,8,20,10,25,Schulz_2020_CritCare,5281077,no,,True,
Ethinamate,C#CC1(CCCCC1)OC(=O)N,1.5,10,50,,,Schulz_2020_CritCare,3284,no,,True,
Ethosuximide,CCC1(CC(=O)NC1=O)C,30,100,120,30,60,Schulz_2020_CritCare,3291,no,,True,
Ethylmorphine (Dionin),CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1,0.3,0.6,,2,3,Schulz_2020_CritCare,5359271,no,,True,
Etidocaine,CCCN(CC)C(CC)C(=O)NC1=C(C=CC=C1C)C,0.5,1.5,1.6,2,3,Schulz_2020_CritCare,37497,no,,True,
Etilefrine,CCNCC(C1=CC(=CC=C1)O)O,0.06,0.06,,2,3.5,Schulz_2020_CritCare,3306,no,,True,
Etizolam,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C,0.008,0.018,0.03,2,3,Schulz_2020_CritCare,3307,no,,True,
Etodolac,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,10,20,40,6,8,Schulz_2020_CritCare,3308,no,,True,
Etomidate,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,0.1,0.5,,3.9,,Schulz_2020_CritCare,667484,no,,True,
Etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,2,6,,4,11,Schulz_2020_CritCare,36462,no,,True,
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,1.3,3.6,,20,36,Schulz_2020_CritCare,123619,no,,True,
Etravirine (ETR),CC1=CC(=CC(=C1OC2=NC(=NC(=C2Br)N)NC3=CC=C(C=C3)C#N)C)C#N,0.275,0.275,,,,Schulz_2020_CritCare,193962,no,,True,
Everolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,0.003,0.008,,28,,Schulz_2020_CritCare,6442177,no,,True,
Ezetimibe,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,0.005,0.045,0.09,,,Schulz_2020_CritCare,150311,no,,True,
Famotidine,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,0.02,0.2,0.42,2,4.5,Schulz_2020_CritCare,5702160,no,,True,
Febuxostat,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O,0.035,1.45,,6,7,Schulz_2020_CritCare,134018,no,,True,
Felbamate,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,50,110,100,15,23,Schulz_2020_CritCare,3331,no,,True,
Felbinac,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O,0.4,1,,10,17,Schulz_2020_CritCare,3332,no,,True,
Felodipine,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,0.001,0.012,0.01,22,27,Schulz_2020_CritCare,3333,no,,True,
Fendiline,CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3,0.02,0.15,,,,Schulz_2020_CritCare,3336,no,,True,
Fenfluramine,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,0.04,0.3,0.5,18,25,Schulz_2020_CritCare,3337,no,,True,
Fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,5,30,60,20,22,Schulz_2020_CritCare,3339,no,,True,
Fenoldopam,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,0.003,0.06,,0.1,,Schulz_2020_CritCare,3341,no,,True,
Fenoprofen,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,30,60,120,2,3,Schulz_2020_CritCare,3342,no,,True,
Fenoterol,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O,0.01,0.04,,,,Schulz_2020_CritCare,3343,no,,True,
Fentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,0.0003,0.3,,1,3.5,Schulz_2020_CritCare,3345,no,,True,
Fesoterodine,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,0.005,0.005,,5,9,Schulz_2020_CritCare,6918558,no,,True,
Fexofenadine,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,0.1,0.9,2.7,14,18,Schulz_2020_CritCare,3348,no,,True,
Finasteride,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,0.008,0.01,,5,7,Schulz_2020_CritCare,57363,no,,True,
Fingolimod,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,0.001,0.018,,144,216,Schulz_2020_CritCare,107970,no,,True,
Flecainide,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,0.4,0.8,1,10,20,Schulz_2020_CritCare,3356,no,,True,
Fleroxacin,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,5,5,,10,12,Schulz_2020_CritCare,3357,no,,True,
Flibanserin,C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F,0.4,0.4,,6,14,Schulz_2020_CritCare,6918248,no,,True,
Flubromazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Br)C(=NC2)C4=CC=CC=C4F,0.008,0.008,,10,20,Schulz_2020_CritCare,21930924,no,,True,
Flucloxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,3,30,,1,2,Schulz_2020_CritCare,21319,no,,True,
Fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,2,6,20,22,34,Schulz_2020_CritCare,3365,no,,True,
Flucytosine,C1=NC(=O)NC(=C1F)N,25,50,100,3,5,Schulz_2020_CritCare,3366,no,,True,
Flumazenil,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,0.02,0.1,0.5,1,2,Schulz_2020_CritCare,3373,no,,True,
Flunarizine,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,0.025,0.2,0.3,,,Schulz_2020_CritCare,941361,no,,True,
Flunitrazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,0.005,0.015,0.05,10,20,Schulz_2020_CritCare,3380,no,,True,
Fluoride,[F-],0.095,0.190,0.5,2,9,Schulz_2020_CritCare,28179,no,,True,
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,0.05,0.3,0.4,0.5,,Schulz_2020_CritCare,3385,no,,True,
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0.12,0.5,1,48,144,Schulz_2020_CritCare,3386,no,,True,
Flupentixol (Flupenthixol),C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,0.0005,0.005,0.015,20,40,Schulz_2020_CritCare,5281881,no,,True,
Fluphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,0.001,0.01,0.015,10,18,Schulz_2020_CritCare,3372,no,,True,
Flupirtine,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,0.5,1.5,3,7,11,Schulz_2020_CritCare,53276,no,,True,
Flurazepam,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,0.075,0.165,0.33,,,Schulz_2020_CritCare,3393,no,,True,
Flurbiprofen,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,5,15,,3,4,Schulz_2020_CritCare,3394,no,,True,
Fluspirilen,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,0.0001,0.0022,0.0044,7,14,Schulz_2020_CritCare,3396,no,,True,
Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,0.4,1.5,,7,20,Schulz_2020_CritCare,3397,no,,True,
Fluvastatin,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,0.05,0.44,,1,3,Schulz_2020_CritCare,1548972,no,,True,
Fluvoxamine,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,0.06,0.23,0.5,15,22,Schulz_2020_CritCare,5324346,no,,True,
Folic acid,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,0.004,0.03,,1.5,2,Schulz_2020_CritCare,135398658,no,,True,
Fomepizole,CC1=CNN=C1,8,35,,10,40,Schulz_2020_CritCare,3406,no,,True,
Formoterol,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,20,80,,5,13,Schulz_2020_CritCare,3410,no,,True,
Fosamprenavir (FPV),CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N,0.4,0.4,,4,11,Schulz_2020_CritCare,131536,no,,True,
Fosinopril,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)O)C3CCCCC3,0.13,0.25,,6,17,Schulz_2020_CritCare,9601226,no,,True,
Frovatriptan,CNC1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N,0.004,0.008,,20,30,Schulz_2020_CritCare,77992,no,,True,
Furosemide (Frusemide),C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,2,5,25,0.7,1.5,Schulz_2020_CritCare,3440,no,,True,
Gabapentin,C1CCC(CC1)(CC(=O)O)CN,0.5,6,25,5,7,Schulz_2020_CritCare,3446,no,,True,
Galantamine (Galanthamine),CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0.03,0.06,0.09,6,10,Schulz_2020_CritCare,9651,no,,True,
Gallopamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,0.02,0.1,,3,8,Schulz_2020_CritCare,1234,no,,True,
Ganciclovir,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,0.5,5,3,2,4,Schulz_2020_CritCare,135398740,no,,True,
Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,3.9,5.3,,0.05,,Schulz_2020_CritCare,60750,no,,True,
Gentamicin,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,4,10,12,1.5,6,Schulz_2020_CritCare,3467,no,,True,
Glibenclamide (Glyburide),COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0.05,0.2,0.6,10,,Schulz_2020_CritCare,3488,no,,True,
Gliclazide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,1,3.7,,6,14,Schulz_2020_CritCare,3475,no,,True,
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,0.09,0.5,1,4,15,Schulz_2020_CritCare,3476,no,,True,
Glipizide,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0.1,1,2,3,7,Schulz_2020_CritCare,3478,no,,True,
Glutethimide,CCC1(CCC(=O)NC1=O)C2=CC=CC=C2,0.2,5,10,5,20,Schulz_2020_CritCare,3487,no,,True,
Gold,[Au],3,8,10,504,744,Schulz_2020_CritCare,23985,no,,True,
Granisetron,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,0.005,0.017,,3,21,Schulz_2020_CritCare,5284566,no,,True,
Griseofulvin,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,0.3,1.7,,22,,Schulz_2020_CritCare,441140,no,,True,
Guaifenesin,COC1=CC=CC=C1OCC(CO)O,0.3,1.4,,,,Schulz_2020_CritCare,3516,no,,True,
Guanethidine,C1CCCN(CCC1)CCN=C(N)N,0.01,0.01,,5,10,Schulz_2020_CritCare,3518,no,,True,
Guanfacine,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,0.001,0.01,,13.5,,Schulz_2020_CritCare,3519,no,,True,
Haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,0.005,0.017,0.006,10,35,Schulz_2020_CritCare,3559,no,,True,
Halothan,C(C(F)(F)F)(Cl)Br,22,260,,43,,Schulz_2020_CritCare,3562,no,,True,
Hematin,CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O.[OH-].[Fe+3],50,100,,,,Schulz_2020_CritCare,76964397,no,,True,
Heptabarb (Heptabarbital),CCC1(C(=O)NC(=O)NC1=O)C2=CCCCCC2,0.5,4,8,6,11,Schulz_2020_CritCare,10518,no,,True,
Heptaminol,CC(CCCC(C)(C)O)N,0.2,1,,2,3,Schulz_2020_CritCare,3590,no,,True,
Hexachlorophene,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,0.003,0.65,,6,44,Schulz_2020_CritCare,3598,no,,True,
n-Hexane,CCCCCC,9e-05,9e-05,,1.5,2,Schulz_2020_CritCare,8058,yes,unit_converted:ng_per_mL_to_mg_per_L,False,industrial_solvent
Hexapropymate,C#CCC1(CCCCC1)OC(=O)N,2,5,10,,,Schulz_2020_CritCare,9661,no,,True,
Hexobarbital,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2,1,5,10,4,6,Schulz_2020_CritCare,3608,no,,True,
Homosalate,CC1CC(CC(C1)(C)C)OC(=O)C2=CC=CC=C2O,0.004,0.023,,47,78,Schulz_2020_CritCare,8362,no,,False,sunscreen_topical_not_systemic
Hydralazine,C1=CC=C2C(=C1)C=NN=C2NN,0.05,0.5,,2,6,Schulz_2020_CritCare,3637,no,,True,
Hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,0.04,0.45,4,9,12,Schulz_2020_CritCare,3639,no,,True,
Hydrocodone,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4,0.01,0.04,0.1,,,Schulz_2020_CritCare,5284569,no,,True,
Hydromorphone,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,0.005,0.015,0.1,2,3,Schulz_2020_CritCare,5284570,no,,True,
Hydroxychloroquine,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,0.1,0.5,0.5,,,Schulz_2020_CritCare,3652,no,,True,
Hydroxytryptophan (5-HTP),C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,0.5,1.5,,2,7,Schulz_2020_CritCare,439280,no,,True,
Hydroxyzine,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0.05,0.1,0.1,7,20,Schulz_2020_CritCare,3658,no,,True,
Hyoscyamine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,0.0004,0.006,,7.5,,Schulz_2020_CritCare,154417,no,,True,
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,15,30,200,0.9,2.5,Schulz_2020_CritCare,3672,no,,True,
Idebenone,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,0.05,0.2,,16,22,Schulz_2020_CritCare,3686,no,,True,
Iloperidone,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,0.005,0.01,0.02,18,33,Schulz_2020_CritCare,71360,no,,True,
Iloprost,CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)O)C2)O)O,0.0001,0.0001,,,,Schulz_2020_CritCare,5311181,no,,True,
Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.72,0.72,,,,Schulz_2020_CritCare,5291,no,,True,
Imipenem,CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O,0.5,5,,1,1.5,Schulz_2020_CritCare,104838,no,,True,
Imipramine plus Desipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,0.05,0.35,0.5,11,25,Schulz_2020_CritCare,3696,no,,True,
Indapamide,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,0.13,0.25,,14,15,Schulz_2020_CritCare,3702,no,,True,
Indinavir (IDV),CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,0.1,0.1,0.5,1.5,2,Schulz_2020_CritCare,5362440,no,,True,
Indometacin (Indomethacin),CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0.3,1,4,5,10,Schulz_2020_CritCare,3715,no,,True,
Indoramin,C1CN(CCC1NC(=O)C2=CC=CC=C2)CCC3=CNC4=CC=CC=C43,0.025,0.1,,12,,Schulz_2020_CritCare,33625,no,,True,
Irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,1.9,3.3,,11,15,Schulz_2020_CritCare,3749,no,,True,
Iron,[Fe],0.5,2,6,3,8,Schulz_2020_CritCare,23925,no,,True,
Isavuconazole,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=CC(=C4)F)F)O,2.5,2.5,,50,110,Schulz_2020_CritCare,6918485,no,,True,
Isoflurane,C(C(F)(F)F)(OC(F)F)Cl,20,150,,7,,Schulz_2020_CritCare,3763,no,,True,
Isoniazid (INH),C1=CN=CC=C1C(=O)NN,5,10,20,1,3,Schulz_2020_CritCare,3767,no,,True,
Isosorbide-dinitrate (ISDN),C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-],0.02,0.2,,0.4,0.8,Schulz_2020_CritCare,6883,no,,True,
Isosorbide-5-mononitrate (IS-5-MN),C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O,0.1,1,3.1,2,5,Schulz_2020_CritCare,27661,no,,True,
Isotretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,0.001,0.002,,10,20,Schulz_2020_CritCare,5282379,no,,True,
Isoxicam,CC1=CC(=NO1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,5,15,,20,50,Schulz_2020_CritCare,54677972,no,,True,
Isradipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,0.0005,0.002,0.01,5,10,Schulz_2020_CritCare,3784,no,,True,
Itraconazole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,0.4,2,,24,36,Schulz_2020_CritCare,55283,no,,True,
Ivabradine,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC,0.01,0.06,0.11,1.3,2.8,Schulz_2020_CritCare,132999,no,,True,
Kanamycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,1,4,25,2,3,Schulz_2020_CritCare,6032,no,,True,
Kavain,COC1=CC(=O)OC(C1)C=CC2=CC=CC=C2,0.05,0.05,0.18,2.8,6.7,Schulz_2020_CritCare,5281565,no,,True,
Ketamine,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,1,6,0.02,1,3,Schulz_2020_CritCare,3821,no,,True,
Ketanserin,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,0.05,0.5,,10,22,Schulz_2020_CritCare,3822,no,,True,
Ketazolam,CC1=CC(=O)N2CC(=O)N(C3=C(C2(O1)C4=CC=CC=C4)C=C(C=C3)Cl)C,0.001,0.02,,1,3,Schulz_2020_CritCare,33746,no,,True,
Ketobemidone,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O,0.01,0.05,,1.8,4.2,Schulz_2020_CritCare,10101,no,,True,
Ketoconazole,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,1,3,,6,10,Schulz_2020_CritCare,47576,no,,True,
Ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,1,6,12,1,,Schulz_2020_CritCare,3825,no,,True,
Ketorolac,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,0.5,3,5,4,10,Schulz_2020_CritCare,3826,no,,True,
Ketotifen,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,0.0004,0.004,0.02,7,21,Schulz_2020_CritCare,3827,no,,True,
Labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,0.03,0.2,1,3,10,Schulz_2020_CritCare,3869,no,,True,
Lacidipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2C=CC(=O)OC(C)(C)C)C(=O)OCC)C)C,0.001,0.006,,12,19,Schulz_2020_CritCare,5311217,no,,True,
Lacosamide,CC(=O)NC(COC)C(=O)NCC1=CC=CC=C1,1,10,20,10,15,Schulz_2020_CritCare,219078,no,,True,
Lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,1,15,20,23,37,Schulz_2020_CritCare,3878,no,,True,
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,0.06,0.4,,1,2,Schulz_2020_CritCare,3883,no,,True,
Leflunomide,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,6,100,,4,28,Schulz_2020_CritCare,3899,no,,True,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,0.06,1,2613,3,4,Schulz_2020_CritCare,216326,no,,True,
Levacetylmethadol (= Acetylmethadol),CCC(C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,0.02,0.06,,32,116,Schulz_2020_CritCare,15130,no,,True,
Levamisole,C1CSC2=NC(CN21)C3=CC=CC=C3,0.1,0.7,,2,8,Schulz_2020_CritCare,26879,no,,True,
Levetiracetam,CCC(C(=O)N)N1CCCC1=O,10,40,50,4,10,Schulz_2020_CritCare,5284583,no,,True,
