drug_name_raw,query_name,cid,smiles,mw,logp,iupac,source
Asenapine,Asenapine,163091,CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,285.8,3.8,"(2S,6S)-9-chloro-4-methyl-13-oxa-4-azatetracyclo[12.4.0.02,6.07,12]octadeca-1(18),7(12),8,10,14,16-hexaene",pubchem_rest
Astemizole,Astemizole,2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,458.6,6,1-[(4-fluorophenyl)methyl]-N-[1-[2-(4-methoxyphenyl)ethyl]piperidin-4-yl]benzimidazol-2-amine,pubchem_rest
Atazanavir (ATV),Atazanavir,148192,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,704.9,5.6,"methyl N-[(2S)-1-[2-[(2S,3S)-2-hydroxy-3-[[(2S)-2-(methoxycarbonylamino)-3,3-dimethylbutanoyl]amino]-4-phenylbutyl]-2-[(4-pyridin-2-ylphenyl)methyl]hydrazinyl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",pubchem_rest
Atenolol,Atenolol,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,266.34,0.2,2-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide,pubchem_rest
Atomoxetine,Atomoxetine,54841,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,255.35,3.7,(3R)-N-methyl-3-(2-methylphenoxy)-3-phenylpropan-1-amine,pubchem_rest
Atorvastatin,Atorvastatin,60823,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,558.6,5,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",pubchem_rest
Atovaquone,Atovaquone,74989,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,366.8,5.2,"3-[4-(4-chlorophenyl)cyclohexyl]-4-hydroxynaphthalene-1,2-dione",pubchem_rest
Atracurium(besylate),Atracurium,47319,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,929.1,7.9,"5-[3-[1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-3,4-dihydro-1H-isoquinolin-2-ium-2-yl]propanoyloxy]pentyl 3-[1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-3,4-dihydro-1H-isoquinolin-2-ium-2-yl]propanoate",pubchem_rest
Atropine,Atropine,174174,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,289.4,1.8,"[(1S,5R)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate",pubchem_rest
Avanafil,Avanafil,9869929,COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCCC4CO)Cl,483.9,2.6,4-[(3-chloro-4-methoxyphenyl)methylamino]-2-[(2S)-2-(hydroxymethyl)pyrrolidin-1-yl]-N-(pyrimidin-2-ylmethyl)pyrimidine-5-carboxamide,pubchem_rest
Avobenzone,Avobenzone,51040,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,310.4,4.8,"1-(4-tert-butylphenyl)-3-(4-methoxyphenyl)propane-1,3-dione",pubchem_rest
Azapropazone (Apazone),Azapropazone,26098,CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C,300.36,4,"5-(dimethylamino)-9-methyl-2-propylpyrazolo[1,2-a][1,2,4]benzotriazine-1,3-dione",pubchem_rest
Azathioprine,Azathioprine,2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],277.27,0.1,6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine,pubchem_rest
Azelastine,Azelastine,2267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,381.9,4.4,4-[(4-chlorophenyl)methyl]-2-(1-methylazepan-4-yl)phthalazin-1-one,pubchem_rest
