drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag
Fenoldopam,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,0.003,0.06,,0.1,,Schulz_2020_CritCare,3341,no,
Fenoprofen,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,30,60,120,2,3,Schulz_2020_CritCare,3342,no,
Fenoterol,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O,0.01,0.04,,,,Schulz_2020_CritCare,3343,no,
Fentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,0.0003,0.3,,1,3.5,Schulz_2020_CritCare,3345,no,
Fesoterodine,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,0.005,0.005,,5,9,Schulz_2020_CritCare,6918558,no,
Fexofenadine,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,0.1,0.9,2.7,14,18,Schulz_2020_CritCare,3348,no,
Finasteride,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,0.008,0.01,,5,7,Schulz_2020_CritCare,57363,no,
Fingolimod,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,0.001,0.018,,144,216,Schulz_2020_CritCare,107970,no,
Flecainide,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,0.4,0.8,1,10,20,Schulz_2020_CritCare,3356,no,
Fleroxacin,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,5,5,,10,12,Schulz_2020_CritCare,3357,no,
