drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag
Tetracycline,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,1,5,30,6,10,Schulz_2020_CritCare,54675776,no,
Tetrazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CCCCC3,0.05,0.6,,16,44,Schulz_2020_CritCare,25215,no,
Thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,0.5,1.5,,5,9,Schulz_2020_CritCare,5426,no,
Thallium,[Tl],-0.002,-0.002,0.1,48,96,Schulz_2020_CritCare,5359464,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,10,15,20,6,10,Schulz_2020_CritCare,5429,no,
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,8,15,20,6,9,Schulz_2020_CritCare,2153,no,
Thiamphenicol,CS(=O)(=O)C1=CC=C(C=C1)C(C(CO)NC(=O)C(Cl)Cl)O,0.5,3,20,2,7,Schulz_2020_CritCare,27200,no,
Thiamylal,CCCC(C)C1(C(=O)NC(=S)NC1=O)CC=C,5,5,,0.6,0.8,Schulz_2020_CritCare,3032285,no,
Thiazinamium,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)[N+](C)(C)C,0.05,0.15,0.3,,,Schulz_2020_CritCare,6016,no,
"Thiocyanate, from Nitroprusside",C(#N)[S-],5,30,35,3,4,Schulz_2020_CritCare,9322,no,
Thiopental,CCCC(C)C1(C(=O)NC(=S)NC1=O)CC,1,5,7,3,8,Schulz_2020_CritCare,3000715,no,
Thioproperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,0.001,0.02,0.1,,,Schulz_2020_CritCare,9429,no,
Thioridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.1,0.2,0.4,7,13,Schulz_2020_CritCare,5452,no,
Tiagabine,CC1=C(SC=C1)C(=CCCN2CCCC(C2)C(=O)O)C3=C(C=CS3)C,0.02,0.2,0.3,7,9,Schulz_2020_CritCare,60648,no,
Tianeptine,CN1C2=CC=CC=C2C(C3=C(S1(=O)=O)C=C(C=C3)Cl)NCCCCCCC(=O)O,0.03,0.08,0.16,2.5,3,Schulz_2020_CritCare,68870,no,
Tiapride,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC,1,2,4,2,6,Schulz_2020_CritCare,5467,no,
Tiaprofenic acid,CC(C1=CC=C(S1)C(=O)C2=CC=CC=C2)C(=O)O,15,40,,1.5,3,Schulz_2020_CritCare,5468,no,
Ticlopidine,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,1,2,,70,130,Schulz_2020_CritCare,5472,no,
Tilidine,CCOC(=O)C1(CCC=CC1N(C)C)C2=CC=CC=C2,0.05,0.3,,1,7,Schulz_2020_CritCare,30131,no,
Tiludronate (Tiludronic acid),C1=CC(=CC=C1SC(P(=O)(O)O)P(=O)(O)O)Cl,0.2,1.5,,65,78,Schulz_2020_CritCare,60937,no,
Timolol,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,0.005,0.05,,2,6,Schulz_2020_CritCare,33624,no,
Tin,[Sn],0.03,0.14,,,,Schulz_2020_CritCare,5352426,no,
Tinidazol,CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C,10,50,,11,15,Schulz_2020_CritCare,5479,no,
Tiopronin,CC(C(=O)NCC(=O)O)S,2,5,,12,37,Schulz_2020_CritCare,5483,no,
Tiotixene (Thiothixene),CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,0.001,0.02,0.1,12,36,Schulz_2020_CritCare,941651,no,
Tiotropium,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(C4=CC=CS4)(C5=CC=CS5)O)C,16,16,,5,6,Schulz_2020_CritCare,5487427,no,
Tipranavir (TPV),CCCC1(CC(=C(C(=O)O1)C(CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4,20.5,20.5,,5.5,6,Schulz_2020_CritCare,54682461,no,
Tizanidine,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,0.005,0.045,0.09,2,4,Schulz_2020_CritCare,5487,no,
Tobramycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,2,2,12,0.5,3,Schulz_2020_CritCare,36294,no,
Tocainide,CC1=C(C(=CC=C1)C)NC(=O)C(C)N,4,12,13,8,25,Schulz_2020_CritCare,38945,no,
Tofenacin(e),CC1=CC=CC=C1C(C2=CC=CC=C2)OCCNC,0.025,0.1,0.5,,,Schulz_2020_CritCare,25315,no,
Tolbutamide,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,45,100,400,4,12,Schulz_2020_CritCare,5505,no,
Tolcapone,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],3,6,12,2,,Schulz_2020_CritCare,4659569,no,
Tolmetin,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O,10,80,160,2,4,Schulz_2020_CritCare,5509,no,
Tolperisone,CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2,0.09,0.3,0.7,1.8,2.9,Schulz_2020_CritCare,5511,no,
Tolterodine,CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,0.0008,0.002,,2,3,Schulz_2020_CritCare,443879,no,
Topiramate,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,2,10,16,18,30,Schulz_2020_CritCare,5284627,no,
Topotecan,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,0.001,0.01,,2,3,Schulz_2020_CritCare,60700,no,
Torasemide (Torsemide),CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,0.064,0.52,,2,6,Schulz_2020_CritCare,41781,no,
Tramadol,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,0.1,1,1,5,10,Schulz_2020_CritCare,33741,no,
Trandolapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O,0.00043,0.003,,0.6,0.8,Schulz_2020_CritCare,5484727,yes,unit_converted:ng_per_mL_to_mg_per_L
Tranexamic acid,C1CC(CCC1CN)C(=O)O,10,50,,1,3,Schulz_2020_CritCare,5526,no,
Tranylcypromine,C1C(C1N)C2=CC=CC=C2,0.05,0.05,0.1,1,3.5,Schulz_2020_CritCare,5530,no,
Trapidil,CCN(CC)C1=CC(=NC2=NC=NN12)C,6,10,,2,6,Schulz_2020_CritCare,5531,no,
Trazodone,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,0.7,1,1.2,4,11,Schulz_2020_CritCare,5533,no,
Triamterene,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,0.01,0.1,0.2,1.5,4,Schulz_2020_CritCare,5546,no,
Triazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,0.002,0.02,0.04,2,5,Schulz_2020_CritCare,5556,no,
"2,2,2-Trichloroethanol",C(C(Cl)(Cl)Cl)O,5,15,40,6,10,Schulz_2020_CritCare,8259,no,
Trifluoperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,0.001,0.01,0.1,7,18,Schulz_2020_CritCare,5566,no,
Triflupromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,0.03,0.1,0.3,,,Schulz_2020_CritCare,5568,no,
Trihexyphenidyl (Trihex),C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O,0.05,0.2,0.5,24,41,Schulz_2020_CritCare,5572,no,
Trimethadione,CC1(C(=O)N(C(=O)O1)C)C,20,40,,16,,Schulz_2020_CritCare,5576,no,
Trimethobenzamide,CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC,1,2,,7,9,Schulz_2020_CritCare,5577,no,
Trimethoprim,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,1.5,2.5,20,8,11,Schulz_2020_CritCare,5578,no,
Trimipramine,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,0.15,0.3,0.6,10,20,Schulz_2020_CritCare,5584,no,
Tripelenamine,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2,0.02,0.06,,5,8,Schulz_2020_CritCare,5587,no,
Triprolidine,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC=N3,0.004,0.045,,1,5,Schulz_2020_CritCare,5282443,no,
Tropisetron,CN1C2CCC1CC(C2)OC(=O)C3=CNC4=CC=CC=C43,0.02,0.05,,7,9,Schulz_2020_CritCare,656665,no,
Tubocurarine,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,0.4,3,,2,4,Schulz_2020_CritCare,6000,no,
Tungsten,[W],-0.035,-0.035,,2,4,Schulz_2020_CritCare,23964,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Uranium,[U],4e-05,4e-05,,1.08e+04,,Schulz_2020_CritCare,23989,yes,unit_converted:ng_per_mL_to_mg_per_L
Urapidil,CN1C(=CC(=O)N(C1=O)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC,0.1,0.2,,2,3,Schulz_2020_CritCare,5639,no,
Valnoctamide,CCC(C)C(CC)C(=O)N,5,6,40,7,14,Schulz_2020_CritCare,20140,no,
Valproic acid,CCCC(CCC)C(=O)O,50,100,120,7,17,Schulz_2020_CritCare,3121,no,
Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,0.8,6,12,5,12,Schulz_2020_CritCare,60846,no,
Vanadium,[V],-0.05,-0.05,0.0058,4,12,Schulz_2020_CritCare,23990,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Vancomycin,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,10,20,30,3.6,11,Schulz_2020_CritCare,14969,no,
Vardenafil,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,0.002,0.004,,2,5,Schulz_2020_CritCare,135400189,no,
Varenicline,C1C2CNCC1C3=CC4=NC=CN=C4C=C23,0.004,0.005,0.01,23,39,Schulz_2020_CritCare,5310966,no,
Vecuronium,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,0.2,0.37,,1,1.5,Schulz_2020_CritCare,39765,no,
Venlafaxine,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,0.1,0.4,0.8,3,7,Schulz_2020_CritCare,5656,no,
Verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,0.02,0.25,1,6,14,Schulz_2020_CritCare,2520,no,
Vigabatrin,C=CC(CCC(=O)O)N,2,10,20,5,8,Schulz_2020_CritCare,5665,no,
Vilazodone,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,0.03,0.07,0.14,18,32,Schulz_2020_CritCare,6918314,no,
Vildagliptin,C1CC(N(C1)C(=O)CNC23CC4CC(C2)CC(C4)(C3)O)C#N,0.18,0.3,,2,3,Schulz_2020_CritCare,6918537,no,
Viloxazine,CCOC1=CC=CC=C1OCC2CNCCO2,1,4,47,2,5,Schulz_2020_CritCare,5666,no,
Vincamine,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(C2)(C(=O)OC)O,0.25,0.25,,1,2,Schulz_2020_CritCare,15376,no,
Vinylbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)C=C,1,3,5,18,33,Schulz_2020_CritCare,72135,no,
Viquidil,COC1=CC2=C(C=CN=C2C=C1)C(=O)CCC3CCNCC3C=C,0.15,0.25,,6,12,Schulz_2020_CritCare,65753,no,
Vitamin B,C1=CC(=CN=C1)C(=O)N,300,500,,21,29,Schulz_2020_CritCare,936,no,
Voriconazole,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,1,6,3.5,4,10,Schulz_2020_CritCare,71616,no,
Vortioxetine,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,0.006,0.04,0.08,57,66,Schulz_2020_CritCare,9966051,no,
Warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,1,3,10,37,50,Schulz_2020_CritCare,54678486,no,
Xamoterol,C1COCCN1C(=O)NCCNCC(COC2=CC=C(C=C2)O)O,0.02,0.05,,13,30,Schulz_2020_CritCare,155774,no,
Xipamide,CC1=C(C(=CC=C1)C)NC(=O)C2=CC(=C(C=C2O)Cl)S(=O)(=O)N,3,11,,5,8,Schulz_2020_CritCare,26618,no,
Yohimbine,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,0.05,0.3,,1,3,Schulz_2020_CritCare,8969,no,
Zafirlukast,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,0.005,0.03,,5,20,Schulz_2020_CritCare,5717,no,
Zaleplon(e),CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,0.02,0.04,0.2,1,2,Schulz_2020_CritCare,5719,no,
Zanoterone,CC12CCC3C(C1CCC2(C#C)O)CCC4C3(CC5=CN(N=C5C4)S(=O)(=O)C)C,0.1,0.5,,,,Schulz_2020_CritCare,9844827,no,
Zidovudine,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],0.1,0.3,2,0.5,3,Schulz_2020_CritCare,35370,no,
Zinc,[Zn],0.6,1.3,2,3600,1.152e+04,Schulz_2020_CritCare,23994,no,
Zipeprol,COC(CN1CCN(CC1)CC(C(C2=CC=CC=C2)OC)O)C3=CC=CC=C3,0.1,0.7,,1.2,,Schulz_2020_CritCare,36910,no,
Ziprasidone,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,0.05,0.2,0.4,2,8,Schulz_2020_CritCare,60854,no,
Zolmitriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3,0.003,0.01,,1.6,3.8,Schulz_2020_CritCare,60857,no,
Zolpidem,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,0.08,0.16,0.32,1,5,Schulz_2020_CritCare,5732,no,
Zomepirac,CC1=C(N(C(=C1)CC(=O)O)C)C(=O)C2=CC=C(C=C2)Cl,0.1,4,,4,10,Schulz_2020_CritCare,5733,no,
Zonisamide,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,20,30,40,50,70,Schulz_2020_CritCare,5734,no,
Zopiclone,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,0.055,0.085,0.15,2,8,Schulz_2020_CritCare,5735,no,
Zotepine,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0.01,0.15,0.3,13,16,Schulz_2020_CritCare,5736,no,
Zuclopenthixol,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,0.004,0.05,0.1,15,25,Schulz_2020_CritCare,5311507,no,
