drug_name_raw,therapeutic_raw,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_raw,toxic_min_mg_L,toxic_max_mg_L,comatose_raw,comatose_min_mg_L,thalf_raw,references,unit_flag,source,page
Ceftazidime,20-40 (50-200),20,40,,,,,,1-4,"[3], [8], [11]",,Schulz_2020_CritCare,16
Ceftibuten,appr. 3-20,3,20,,,,,,2-4,[8],,Schulz_2020_CritCare,16
Ceftizoxime,40-160,40,160,,,,,,6-9,[41],,Schulz_2020_CritCare,16
Ceftriaxone,15-75,15,75,,,,,,4.5-8.5,"[67], [1186]",,Schulz_2020_CritCare,16
Cefuroxime,0.5-1 (10-60; i.v. -180),0.5,1,,,,,,1.1-1.3,"[3], [10], [58], [176, 177]",,Schulz_2020_CritCare,16
Celecoxib,0.36-0.8,0.36,0.8,,,,,,7-16,[47],,Schulz_2020_CritCare,17
Celiprolol,0.05-0.5 (-1),0.05,0.5,,,,,,3-6,[58],,Schulz_2020_CritCare,17
Cephalothin (Cefalotin),-30,-30,-30,,,,,,0.5-0.6,"[3], [41]",,Schulz_2020_CritCare,17
Cerivastatin,0.002-0.04,0.002,0.04,,,,,,1.5-3,[8],,Schulz_2020_CritCare,17
Cetirizine,appr. 0.1-0.6,0.1,0.6,2-5,2,5,,,7-10,"[15], [47]",,Schulz_2020_CritCare,17
Chloralhydrate,1.5-15,1.5,15,40-50,40,50,60-100,60,6-10 (-30),"[47], [58]",,Schulz_2020_CritCare,17
Chlorambucil,0.15-0.3,0.15,0.3,,,,,,1.5-3,[15],,Schulz_2020_CritCare,17
Chloramphenicol,5-10 (-15),5,10,25,25,25,28-108; 180,28,2-6,"[11], [47], [58], [178], [1069]",,Schulz_2020_CritCare,17
Chlordane,-0.001,-0.001,-0.001,0.0025,0.0025,0.0025,1-7,1,88days,"[11], [58]",,Schulz_2020_CritCare,17
Chlordecone,,,,0.6-32,0.6,32,,,63-148days,[47],,Schulz_2020_CritCare,17
Chlordiazepoxide,0.4-3,0.4,3,3.5-10 (-15); 20.5,3.5,10,20 ; 26,20,6-27,"[11], [47], [56], [58], [179, 180]",,Schulz_2020_CritCare,17
Chlorhexidine,,,,,,,,,appr. 12 (dermally in rats),[47],,Schulz_2020_CritCare,17
Chlormezanone,(3-) 5-9 (-14),5,9,appr. 20,20,20,18 ; 53,18,20-30 (-60),"[43], [47], [56], [181]",,Schulz_2020_CritCare,18
Chlorobutanol,,,,75,75,75,,,,[66],,Schulz_2020_CritCare,18
Chloroform,20-50 (-100),20,50,appr. 70,70,70,33 ; 64 ; 69 ; 91,33,1.5,"[11], [47], [58], [182]",,Schulz_2020_CritCare,18
Chlorophacinone,,,,,,,3.4-28; 26,3.4,6-23days,[47],,Schulz_2020_CritCare,18
Chloroquine,0.02-0.5 (-0.7),0.02,0.5,0.8-1,0.8,1,3; 8 ; 15 ; 18,3,dose-dependent (3-14 (-30-60)) days,"[30], [47], [56], [183], [806], [1232]",,Schulz_2020_CritCare,18
Chlorothiazide,2-18,2,18,,,,,,0.5-2,"[3], [11], [58], [780]",,Schulz_2020_CritCare,18
Chlorphenamine (Chlorpheniramine),(0.003-) 0.01-0.02,0.01,0.02,,,,1.1,1.1,(12-) 15-25 (-43),"[3], [11], [47], [58]",,Schulz_2020_CritCare,18
Chlorpromazine,0.03-0.1 (-0.5),0.03,0.1,0.6 ; 1-2,0.6,0.6,3-4,3,10-30,"[4], [56], [184, 185]",,Schulz_2020_CritCare,18
Chlorpropamide,30-250,30,250,200-750,200,750,,,25-60,"[58], [66]",,Schulz_2020_CritCare,18
Chlorprothixene,0.02-0.3,0.02,0.3,0.4,0.4,0.4,0.4-0.9,0.4,8-12,"[4], [47], [798]",,Schulz_2020_CritCare,18
Chlorpyrifos,,,,0.2,0.2,0.2,0.5 (0.14-1.2),0.5,56-74,"[47], [186]",,Schulz_2020_CritCare,18
Chlortalidone,0.15-0.3 (-1.4),0.15,0.3,appr. 2,2,2,,,44-48 (24-89),"[47], [58]",,Schulz_2020_CritCare,18
Chlortetracycline,1-5 (-10),1,5,30,30,30,,,5-6,"[9], [13, 14], [58]",,Schulz_2020_CritCare,18
Chromium,< 0.0005,0.0005,0.0005,0.001-0.091 (- 0.3) (inhalative exposition); 0.2-4.6 (after oral intake),0.001,0.091,1 ; 32 ; 68,1,3-4 years,"[47], [805], [987]",,Schulz_2020_CritCare,19
Cibenzoline,0.2-0.4 (-0.9),0.2,0.4,(0.5-) 1,1,1,3.4-23,3.4,(6)- 7-8 (-15),"[3], [47], [187]",,Schulz_2020_CritCare,19
Cicletanine,appr. 1-2,1,2,,,,,,5-23,"[3], [8]",,Schulz_2020_CritCare,19
"Ciclosporine A (Cyclosporine, CsA)",< 0.1-0.25,0.1,0.25,0.3-0.4,0.3,0.4,,,10-27,[188-193],,Schulz_2020_CritCare,19
Cidofovir,appr. 7-43,7,43,,,,,,2.5,"[3], [8]",,Schulz_2020_CritCare,19
Cilazapril (Cilazaprilat),0.003-0.09,0.003,0.09,,,,,,30-50,[8],,Schulz_2020_CritCare,19
Cilostazol,0.18-0.54,0.18,0.54,,,,,,12,[780],,Schulz_2020_CritCare,19
Cimetidine,0.25-3 (0.75-4),0.25,3,19-50,19,50,110,110,1.5-4,"[47], [58], [194, 195]",,Schulz_2020_CritCare,19
Cinnarizine,0.04-0.33,0.04,0.33,7.4,7.4,7.4,1.1,1.1,12-34,[47],,Schulz_2020_CritCare,19
Cinoxacin,appr. 15,15,15,,,,,,1.5-4,[8],,Schulz_2020_CritCare,19
Ciprofloxacin,2.5-4,2.5,4,11.5,11.5,11.5,,,3-6 (-8),"[47], [196-199], [203]",,Schulz_2020_CritCare,19
Cisaprid,0.04-0.08,0.04,0.08,,,,,,6-12,[8],,Schulz_2020_CritCare,19
Citalopram,0.05-0.11,0.05,0.11,0.22 ; 2.45,0.22,0.22,3.4-10.5 (5-6 ),3.4,25-48,"[4], [8], [47], [56], [200-202], [204-207], [807, 808], [1084]",,Schulz_2020_CritCare,19
Cladribine,appr. 0.006,0.006,0.006,,,,,,0.1-0.2 (6.4-19.7),[208-210],,Schulz_2020_CritCare,19
Clarithromycin,appr. 0.2-2,0.2,2,,,,,,3-7,"[8], [115], [118], [211-213]",,Schulz_2020_CritCare,20
Clemastine,appr. 0.001-0.002,0.001,0.002,,,,,,10-32,"[8], [47], [214]",,Schulz_2020_CritCare,20
Clenbuterol,0.0003-0.0006,0.0003,0.0006,0.003,0.003,0.003,0.001,0.001,30-35,"[47], [940-942]",,Schulz_2020_CritCare,20
Clindamycin,appr. 0.5-2,0.5,2,,,,,,2-3,"[8], [47]",,Schulz_2020_CritCare,20
Clobazam,0.03-0.3,0.03,0.3,0.5,0.5,0.5,0.7 ; 3.9,0.7,18-42,"[4], [47], [59], [215]",,Schulz_2020_CritCare,20
Clobutinol,appr. 0.05-0.2,0.05,0.2,,,,,,23-34,"[3], [8]",,Schulz_2020_CritCare,20
Clodronate (Clodronic acid),0.7-1,0.7,1,,,,,,(2.5-) 7-8; terminal: days,"[49], [996, 997]",,Schulz_2020_CritCare,20
Clofibrate,50-250,50,250,,,,,,10-18,[88],,Schulz_2020_CritCare,20
Clomethiazole (Chlormethiazole),0.1-5,0.1,5,(2.8-) 4-15,4,15,10-214,10,(2-) 3-5 (-7),"[4], [9], [13], [47], [216, 217]",,Schulz_2020_CritCare,20
Clomipramine Clomipramin + N-Desmethylclomipramin,(0.02-) 0.09-0.25 (-0.4) 0.23-0.45,0.09,0.25,0.4-0.6 0.45,0.4,0.6,1-2,1,16-60,"[4], [76], [80], [218-223], [1084]",,Schulz_2020_CritCare,20
Clonazepam,(0.004-) 0.02-0.07,0.02,0.07,0.08 ; 0.1,0.08,0.08,,,20-60,"[4], [60], [161], [224]",,Schulz_2020_CritCare,20
Clonazolam,-,,,-,,,,,,[835],,Schulz_2020_CritCare,20
Clonidine,0.001-0.002 (-0.004),0.001,0.002,0.009 ; 0.025-0.05,0.009,0.009,0.023 ; 0.23 ; 5.2,0.023,5-20,"[47], [225-227]",,Schulz_2020_CritCare,20
Clopamide,appr. 0.06-0.18,0.06,0.18,,,,,,6-14,[47],,Schulz_2020_CritCare,20
Clopenthixol (Clopentixol),0.002-0.015,0.002,0.015,0.1-0.3,0.1,0.3,,,15-25,"[8], [11]",,Schulz_2020_CritCare,20
Clopidogrel,0.001-0.006,0.001,0.006,,,,,,1.5-4 (-7),[47],,Schulz_2020_CritCare,21
Clotiapin,0.007-0.15,0.007,0.15,0.12-0.38,0.12,0.38,0.3 ; 1.3,0.3,4-10,[47],,Schulz_2020_CritCare,21
Clotiazepam,0.1-0.7,0.1,0.7,,,,,,3-15,[8],,Schulz_2020_CritCare,21
Cloxacillin,5-30 (-85),5,30,,,,,,0.5-1 (0.3-2),"[8], [11], [58]",,Schulz_2020_CritCare,21
Clozapine,(0.1-) 0.35-0.6,0.35,0.6,0.6-1 (9.5 ),0.6,1,1.2 ; 2 ; 5.2,1.2,(6-) 12-16,"[4], [72], [101], [228-240], [809]",,Schulz_2020_CritCare,21
"25C-NBOMe (2-(4-chloro-2,5- dimethoxyphenyl)-N-[(2- methoxyphenyl)methyl]ethanamine)",,,,0.16 ng/mL,0.16,0.16,0.8 ng/g,0.8,,"[47], [988, 989], [995]",NON-MGL:toxic:'ng/mL':'0.16 ng/mL'; NON-MGL:comatose:'ng/g':'0.8 ng/g',Schulz_2020_CritCare,21
Cobalt,0.0001-0.001,0.0001,0.001,0.4-0.5,0.4,0.5,0.42,0.42,2 (early); 38 (late phase),"[11], [47], [58]",,Schulz_2020_CritCare,21
Cocaine,0.05-0.3,0.05,0.3,(0.25-) 0.5-1 (-5.2),0.5,1,0.9-21,0.9,0.5-1,"[13, 14], [47], [58], [241, 242], [990], [1083]",,Schulz_2020_CritCare,21
Codeine,0.03-0.25,0.03,0.25,0.5-1,0.5,1,0.45-2 (-48),0.45,3-4,"[3], [47], [243, 244]",,Schulz_2020_CritCare,21
Colchicine,0.0003-0.0025,0.0003,0.0025,0.005 (0.019 ),0.005,0.005,0.009 ; 0.024 ; 0.066,0.009,11-32 (-60),"[10], [47], [245-248]",,Schulz_2020_CritCare,21
Colistin,1-5,1,5,,,,,,1.5-2 (-5),[47],,Schulz_2020_CritCare,22
Copper,0.6-1.5,0.6,1.5,0.8-2,0.8,2,2.5-5 (-66),2.5,26days,[66],,Schulz_2020_CritCare,22
Coumatetralyl,,,,0.009 ; 0.12,0.009,0.009,,,12-13,"[47], [249]",,Schulz_2020_CritCare,22
Cresol (Methylphenols),-,,,appr. 50,50,50,120,120,,"[58], [991]",,Schulz_2020_CritCare,22
Cromolyn (Cromoglycate),appr. -0.01,-0.01,-0.01,,,,,,1-1.5,[3],,Schulz_2020_CritCare,22
5F-Cumyl-PEGACLONE,,,,,,,0.09-0.45 ng/mL,0.09,,"[1081, 1082]",NON-MGL:comatose:'ng/mL':'0.09-0.45 ng/mL',Schulz_2020_CritCare,22
Cyamenazine,0.0009-0.016,0.0009,0.016,,,,1.8 ; 3.6 ; 9.8,1.8,10-12,[47],,Schulz_2020_CritCare,22
Cyanide,-,,,(0.2-) 0.5; 0.514,0.5,0.5,1-3,1,0.7-2.1 (whole blood); appr. 19,"[47], [130], [250-256], [788-793]",,Schulz_2020_CritCare,22
Cyclizine,0.1-0.25,0.1,0.25,0.75-1,0.75,1,15; 16,15,7-24,"[11], [47], [58], [810]",,Schulz_2020_CritCare,22
Cyclobarbital,2-6,2,6,10,10,10,20; 68 ; 70,20,8-17,"[811, 812]",,Schulz_2020_CritCare,22
Cyclobenzaprine,appr. 0.003-0.04,0.003,0.04,0.4,0.4,0.4,0.8; 1,0.8,18 (9-40),"[11], [58], [257], [992]",,Schulz_2020_CritCare,22
Cyclohexane,-0.4,-0.4,-0.4,,,,,,1-3,[47],,Schulz_2020_CritCare,22
"1-Cyclohexyl-4-(1,2- diphenylethyl)piperazine (MT-45)",-,,,,,,0.52 ; 2.9,0.52,,"[993], [1070]",,Schulz_2020_CritCare,22
Cyclophosphamide,10-25,10,25,,,,,,(1.3-) 4-8 (-16),"[3], [8]",,Schulz_2020_CritCare,22
Cyclopropane,80-180,80,180,,,,,,,"[11], [58]",,Schulz_2020_CritCare,23
Cyclopropylfentanyl,-,,,,,,1.4-43 ; 51 ; 76 ng/mL,1.4,,"[813-816], [1015], [1071]",NON-MGL:comatose:'ng/mL':'1.4-43 ; 51 ; 76 ng/mL',Schulz_2020_CritCare,23
Cyproheptadine,appr. -0.05,-0.05,-0.05,0.13,0.13,0.13,0.47,0.47,8-9; 20-40,"[3], [47]",,Schulz_2020_CritCare,23
Cyproterone acetate,0.01-0.2,0.01,0.2,,,,,,30-40 (-120),"[47], [126]",,Schulz_2020_CritCare,23
Cysteamine,appr. > 1.55,1.55,1.55,,,,,,appr. 1,"[3], [258]",,Schulz_2020_CritCare,23
Cytarabine,0.05-0.5,0.05,0.5,,,,,,0.1-0.2 (1.9-2.5),"[9], [209]",,Schulz_2020_CritCare,23
Dabigatran,(0.03-) 0.04-0.2 (-0.3),0.04,0.2,0.2?; 2.7,0.2,0.2,5.6,5.6,9-14,"[794], [796, 797], [817-820], [960]",,Schulz_2020_CritCare,23
Dalfampridine,0.015-0.055,0.015,0.055,,,,,,5.8,[780],,Schulz_2020_CritCare,23
Danazol,appr. -0.2,-0.2,-0.2,,,,,,4.5,[3],,Schulz_2020_CritCare,23
Dantrolene,(0.1-) 0.4-1.5 (-3),0.4,1.5,,,,,,4-12,"[3], [9], [259]",,Schulz_2020_CritCare,23
Dapagliflozin,0.006-0.285,0.006,0.285,,,,,,12.9,[780],,Schulz_2020_CritCare,23
Dapsone,0.5-2,0.5,2,10,10,10,18,18,25-31,"[260, 261]",,Schulz_2020_CritCare,23
Daptomycin,> 3.2 (trough),3.2,3.2,24.3 (trough),24.3,24.3,,,(4-) 7-9 (-12),"[821-825], [1186]",,Schulz_2020_CritCare,23
Darifenacin,0.0015-0.02,0.0015,0.02,,,,,,16,[780],,Schulz_2020_CritCare,24
Darunavir (DRV),> 3.3 (1.3-7.4),3.3,3.3,,,,,,appr. 15,"[2], [110], [262]",,Schulz_2020_CritCare,24
Deferoxamine (Desferrioxamine),3-15,3,15,,,,,,4-6,"[8], [47]",,Schulz_2020_CritCare,24
Delorazepam,0.01-0.07,0.01,0.07,,,,,,80-115,[47],,Schulz_2020_CritCare,24
Demoxepam,0.5-0.74,0.5,0.74,1,1,1,2.7,2.7,,"[66], [1194]",,Schulz_2020_CritCare,24
Desipramine,0.01-0.5 (0.1-0.3),0.01,0.5,0.3 ; 0.5-1,0.3,0.3,3,3,15-25,"[4], [74], [78-80], [263, 264]",,Schulz_2020_CritCare,24
Desloratadine,0.002-0.006,0.002,0.006,0.012,0.012,0.012,,,17-27,[4],,Schulz_2020_CritCare,24
Des(methyl)venlafaxine,0.1-0.4,0.1,0.4,0.8,0.8,0.8,,,10-17,[4],,Schulz_2020_CritCare,24
Detajmium,0.01-0.7,0.01,0.7,,,,1.8,1.8,13-14,[8],,Schulz_2020_CritCare,24
Dexamethasone,appr. 0.05-0.27,0.05,0.27,0.8,0.8,0.8,,,2.5-9.5,"[3], [265]",,Schulz_2020_CritCare,24
Dexfenfluramine,appr. 0.03-0.06,0.03,0.06,0.15-0.25,0.15,0.25,,,appr. 18,"[11], [58], [66]",,Schulz_2020_CritCare,24
Dexketoprofen,appr. 3.7,3.7,3.7,,,,,,0.5-2,[47],,Schulz_2020_CritCare,24
Dexmedetomidine,-appr. 3.5 ng/mL,3.5,3.5,,,,,,3-10,"[47], [1017]",NON-MGL:therapeutic:'ng/mL':'-appr. 3.5 ng/mL',Schulz_2020_CritCare,24
Dexmethylphenidate,0.013-0.023,0.013,0.023,0.044,0.044,0.044,,,appr. 2,[4],,Schulz_2020_CritCare,25
Dextromethorphan,0.001-0.04 (0.23 ),0.001,0.04,0.1-2.8,0.1,2.8,1.1-3 (-20),1.1,2-4 (23-42 ),"[47], [266-270]",,Schulz_2020_CritCare,25
Dextromoramide,0.05-0.15,0.05,0.15,0.2,0.2,0.2,0.1-1.5,0.1,1.5-4-7,"[8], [47], [58], [271, 272]",,Schulz_2020_CritCare,25
Dextropropoxyphene,0.05-0.3 (-0.5),0.05,0.3,0.6-1,0.6,1,1-2,1,10-30,"[30], [48]",,Schulz_2020_CritCare,25
"3,4-Diaminopyridin (DAP)",< 0.04,0.04,0.04,0.1 (?),0.1,0.1,,,0.3-2,[282],,Schulz_2020_CritCare,25
Diazepam,0.1-2 (-2.5),0.1,2,3 -5,3,5,,,24-48,"[4], [13, 14], [59], [224], [241], [283-286]",,Schulz_2020_CritCare,25
Diazinon,-,,,0.05-0.1 (-0.5),0.05,0.1,0.7-277,0.7,,"[47], [58]",,Schulz_2020_CritCare,25
Diazoxide,10-20 (-50),10,20,50 (-100),50,50,,,20-36 (-48),"[3], [10], [42], [58], [84]",,Schulz_2020_CritCare,25
Dibenzepine,0.025-0.15 (0.1-0.5),0.025,0.15,3,3,3,18,18,3.5-5,"[11], [58]",,Schulz_2020_CritCare,25
Dichloromethane,-,,,,,,50-280 (-2200),50,0.6 (early); 4-8 (late phase),[47],,Schulz_2020_CritCare,25
"2,4-Dichlorophenoxyacetic acid (2,4-D)",-,,,appr. 100,100,100,200; 392 ; 720,200,4-140,"[3], [11], [47], [58]",,Schulz_2020_CritCare,25
Dichlorprop,-,,,52,52,52,250 ; 450,250,70-90,[47],,Schulz_2020_CritCare,25
"Dichlorvos (2,2-Dichlorvinyl-dimethyl- phosphate, DDVP)",-,,,,,,29,29,0.16,[47],,Schulz_2020_CritCare,25
Diclazepam,-,,,,,,,,,[1016],,Schulz_2020_CritCare,26
Diclofenac,0.5-3,0.5,3,50; 60,50,50,,,1-3,"[47], [287-289]",,Schulz_2020_CritCare,26
Dicoumarol,8-30,8,30,22-192,22,192,,,1-4days,"[8], [11]",,Schulz_2020_CritCare,26
Dicyclomine (Dicycloverin),-0.1,-0.1,-0.1,appr. 0.2,0.2,0.2,0.2 ; 0.5,0.2,1.8-2 (-5),"[8], [47]",,Schulz_2020_CritCare,26
Didanosine (DDI),appr. 1-30 µmol/L,1,30,,,,,,appr. 1.4,"[2, 3], [38], [290, 291]",NEEDS-MOLAR-CONVERSION:therapeutic:'appr. 1-30 µmol/L',Schulz_2020_CritCare,26
Dieldrin,-0.0015,-0.0015,-0.0015,0.15-0.3,0.15,0.3,0.5,0.5,2-12 months,"[11], [47], [58]",,Schulz_2020_CritCare,26
Diethylcarbamazine,> 0.8-1.0,0.8,1.0,,,,,,4-15,[292],,Schulz_2020_CritCare,26
Diethylene glycol,-,,,0.04 ; 17 ; 200-500,0.04,0.04,0.2 -360,0.2,3-4,[47],,Schulz_2020_CritCare,26
"N,N-Diethyl-3-methylbenzamide (N,N- Diethyl-m-toluamide; DEET)",-,,,1.6,1.6,1.6,112 ; 240,112,appr. 2.5,[47],,Schulz_2020_CritCare,26
Diethylpentenamide (Valdetamide),2-10,2,10,20,20,20,45,45,6-7,"[8], [13]",,Schulz_2020_CritCare,26
Diethylpropion,0.003-0.007 (-0.2),0.003,0.007,2,2,2,5.4,5.4,4-8,"[3], [8], [58]",,Schulz_2020_CritCare,26
Difenacoum,-,,,0.5,0.5,0.5,,,11-42days,[47],,Schulz_2020_CritCare,26
Diflunisal,40-100 (-200),40,100,300,300,300,260 ; 370 ; 520,260,5-12,"[3], [9], [47], [58], [293]",,Schulz_2020_CritCare,26
Digitoxin,0.008-0.018,0.008,0.018,0.03,0.03,0.03,0.04,0.04,140-200 (7-9days),"[294, 295], [783]",,Schulz_2020_CritCare,26
Digoxin,0.0005-0.0009,0.0005,0.0009,(0.0012-) 0.002,0.002,0.002,0.004-0.005,0.004,40-70,"[18-27], [782-786]",,Schulz_2020_CritCare,26
Dihydrocodeine,0.03-0.25,0.03,0.25,0.5-1 (-12),0.5,1,0.4-166,0.4,3-4,"[14], [47], [58]",,Schulz_2020_CritCare,27
Dihydroergotamine,0.001-0.01,0.001,0.01,,,,,,4-15,"[3], [8], [47]",,Schulz_2020_CritCare,27
Diltiazem,0.03-0.13 (-0.25),0.03,0.13,0.8-1,0.8,1,2-6; 7 ; 8,2,2-6 (4-9),"[3], [47], [58], [84]",,Schulz_2020_CritCare,27
Dimethadione,(350-) 700-1000,700,1000,1000,1000,1000,,,5-10days,"[3], [8], [11, 12]",,Schulz_2020_CritCare,27
Dimethindene,0.01-0.05,0.01,0.05,,,,,,appr. 6,"[3], [8]",,Schulz_2020_CritCare,27
Dimethoate,-,,,,,,355.5 (160.0-674.0) µmol/L,355.5,appr. 5,"[47], [186]",NEEDS-MOLAR-CONVERSION:comatose:'355.5 (160.0-674.0) µmol/L',Schulz_2020_CritCare,27
"2,5-Dimethoxy-4-bromoamphetamine (DOB)",,,,,,,0.01 ; 0.02 ; 0.9,0.01,17-22,[47],,Schulz_2020_CritCare,27
"2,5-Dimethoxy-4-bromophenethylamine (2C-B)",,,,0.34,0.34,0.34,,,1.1,"[47], [994]",,Schulz_2020_CritCare,27
"3,4-Dimethylmethcathinone (3,4-DMMC)",,,,,,,,,27,[1018],,Schulz_2020_CritCare,27
"N,N-Dimethyltryptamine",0.001-0.1,0.001,0.1,,,,,,0.5-1.5,"[47], [58]",,Schulz_2020_CritCare,27
"4,6-Dinitro-2-methylphenol (Dinitro-O (ortho)-cresol [DNOC])",1-5,1,5,30-60,30,60,34 ; 75,34,5-6 days,"[47], [58]",,Schulz_2020_CritCare,27
Diphenhydramine,0.05-0.1 (-1),0.05,0.1,(0.1-) 1-2 (-4),1,2,1.1 (in infants); 5-10,1.1,"3-14, 20-60","[47], [58], [114], [296, 297]",,Schulz_2020_CritCare,28
Diphenidine,,,,,,,0.012-1.38,0.012,,[1015],,Schulz_2020_CritCare,28
Diphenoxylate,appr. 0.01-0.08,0.01,0.08,,,,0.34,0.34,2-3,[47],,Schulz_2020_CritCare,28
Dipipanone,appr. -0.05,-0.05,-0.05,0.43,0.43,0.43,< 0.1 (oral); 0.5-6.2 (i.v.),0.1,3.2-3.8,[47],,Schulz_2020_CritCare,28
Dipyridamole,0.1-1.5 (-2),0.1,1.5,4,4,4,9.2 ; 187,9.2,(6-) 11-13 (-28),"[9], [13, 14], [47]",,Schulz_2020_CritCare,28
Diquat,-,,,0.1-0.4,0.1,0.4,0.4-4.5; 65,0.4,,"[11], [47]",,Schulz_2020_CritCare,28
Disopyramide,2-7,2,7,8,8,8,27,27,(3-) 5-8 (-11),"[11], [47], [58], [64], [70], [986]",,Schulz_2020_CritCare,28
Disulfiram,0.05-0.4,0.05,0.4,0.5 ; 5,0.5,0.5,8 ; 120,8,5-9,"[4], [47], [58]",,Schulz_2020_CritCare,28
Dixyrazine,appr. 0.3,0.3,0.3,,,,5.5 ; 9.4,5.5,,"[4], [298]",,Schulz_2020_CritCare,28
Dofetilide,0.002-0.0055,0.002,0.0055,,,,,,(5-) 9-10 (-13.5),[780],,Schulz_2020_CritCare,28
Domperidone,appr. 0.01-0.1,0.01,0.1,0.2,0.2,0.2,,,12-16,"[3], [299-302]",,Schulz_2020_CritCare,28
Donepezil,appr. 0.03-0.075,0.03,0.075,0.1,0.1,0.1,,,70-100,"[4], [303, 304]",,Schulz_2020_CritCare,29
Doripenem,appr. -12,-12,-12,,,,,,(1-) 2.5-8,"[826], [1186]",,Schulz_2020_CritCare,29
Dothiepin (Dosulepin),0.045-0.1,0.045,0.1,0.2 ; (0.3-) 0.8,0.2,0.2,0.3-5.8,0.3,(8-) 11-20 (-40),"[4], [47], [305, 306]",,Schulz_2020_CritCare,29
Doxacurium,0.01-0.3,0.01,0.3,,,,,,1-2,[8],,Schulz_2020_CritCare,29
Doxapram,(1.5-) 2-5,2,5,9,9,9,,,2.4-9.9,"[3], [11], [58], [307]",,Schulz_2020_CritCare,29
Doxazosin,0.01-0.15,0.01,0.15,0.3,0.3,0.3,,,10-22,"[47], [95]",,Schulz_2020_CritCare,29
Doxepin Doxepin plus N-desmethyldoxepin,0.01-0.2 (0.03-0.1) 0.05-0.15,0.01,0.2,0.5-1 0.3,0.5,1,2-4,2,(8-) 15-20 (-25),"[4], [73], [77], [80], [264], [308-310]",,Schulz_2020_CritCare,29
Doxorubicin (Adriamycin),0.006-0.02,0.006,0.02,,,,,,20-48,"[3], [8], [58]",,Schulz_2020_CritCare,29
Doxycycline,1-5 (-10),1,5,30,30,30,,,15-28,"[8], [58]",,Schulz_2020_CritCare,29
Doxylamine,0.05-0.2,0.05,0.2,0.32 ; 1-2,0.32,0.32,5,5,(7-) 9-11 (-13),"[4], [47], [87], [311], [827]",,Schulz_2020_CritCare,29
"Dronabinol (Delta-9-tetrahydrocannabinol, THC)",0.005-0.01 (-0.05),0.005,0.01,,,,,,50-100,"[241], [312, 313]",,Schulz_2020_CritCare,29
Dronedarone,0.084-0.167,0.084,0.167,,,,,,24-30,"[780], [828]",,Schulz_2020_CritCare,29
Droperidol,appr. -0.05,-0.05,-0.05,,,,,,1.5-2.5,"[3], [314]",,Schulz_2020_CritCare,29
Drotrecogin alfa,mean 0.072,0.072,0.072,,,,,,1.6,[315],,Schulz_2020_CritCare,29
Duloxetine,0.03-0.12,0.03,0.12,0.24,0.24,0.24,,,9-19,"[4], [223]",,Schulz_2020_CritCare,29
Dutasteride,0.025-0.055,0.025,0.055,,,,,,4-5 weeks,[780],,Schulz_2020_CritCare,30
Dyphylline,6.5-14 (-20),6.5,14,40,40,40,,,2,"[11], [58]",,Schulz_2020_CritCare,30
Ecamsule (Mexoryl SX),0.0005-0.012,0.0005,0.012,,,,,,,[801],,Schulz_2020_CritCare,30
Ecdysterone,appr. -0.008,-0.008,-0.008,,,,,,,"[829], [1066]",,Schulz_2020_CritCare,30
Edoxaban,0.02-0.1,0.02,0.1,0.15 (-0.2),0.15,0.15,,,(6-) 10-14,"[47], [794], [797], [830], [960]",,Schulz_2020_CritCare,30
Edrophonium,0.15-0.2,0.15,0.2,appr. 0.15,0.15,0.15,,,1.3-2.4,"[3], [58], [316]",,Schulz_2020_CritCare,30
Efavirenz (EFV),> 1.0 appr. -3,1.0,1.0,6,6,6,,,40-55,"[2], [110, 111], [780]",,Schulz_2020_CritCare,30
Eletriptan,0.06-0.23,0.06,0.23,,,,,,3-7,[47],,Schulz_2020_CritCare,30
Embutramide,,,,,,,2-90,2,9.6,[47],,Schulz_2020_CritCare,30
Emetine,(0-) 0.005-0.075,0.005,0.075,0.008-0.5,0.008,0.5,2.4,2.4,10-18; 24-48,"[8], [47]",,Schulz_2020_CritCare,30
Empagliflozin,0.03-0.36,0.03,0.36,,,,,,9-10,[780],,Schulz_2020_CritCare,30
Emtricitabine,,,,,,,,,appr. 10,[780],,Schulz_2020_CritCare,30
Enalapril,0.01-0.05 (-0.1),0.01,0.05,0.3,0.3,0.3,2.8,2.8,(6-) 8-11 (-55),"[47], [84], [159]",,Schulz_2020_CritCare,30
Encainide,-,,,,,,,,1.5-3.5,[3],,Schulz_2020_CritCare,30
Endrin,-0.003,-0.003,-0.003,0.01-0.03,0.01,0.03,0.62,0.62,,"[47], [58]",,Schulz_2020_CritCare,30
Enflurane,44-144,44,144,,,,130 ; 710,130,36,[47],,Schulz_2020_CritCare,30
Enfuvirtide,2.6-3.4,2.6,3.4,,,,,,3-4,"[47], [1001]",,Schulz_2020_CritCare,31
Enoxacin,1-4,1,4,,,,,,3-6,"[47], [197], [1019]",,Schulz_2020_CritCare,31
Enoximone, 0.2 (3-4 ?),0.2,0.2,,,,,,4-7,"[3], [8], [95]",,Schulz_2020_CritCare,31
Enprofylline,1-5,1,5,10,10,10,,,appr. 2,[8],,Schulz_2020_CritCare,31
